                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1298,                 5.0439,                 1.6977,                      0,                      0,                      0,                      0,                 2.1411,                 5.0068,                 1.8595,                  4e-05,                  4e-05,                  4e-05
                      2,                  2.081,                 4.9744,                  1.686,                0.00083,                0.16667,                0.00052,                0.00037,                 1.7304,                 4.7328,                 1.5171,              9.967e-05,              9.967e-05,              9.967e-05
                      3,                 1.9148,                 4.7535,                 1.3451,                 0.0025,                    0.5,                0.00297,                0.00184,                 1.7226,                 4.5363,                 1.1016,             0.00015894,             0.00015894,             0.00015894
                      4,                 1.6069,                 3.6727,                  1.222,                 0.0025,                    0.5,                0.00288,                0.00147,                 1.3579,                 4.0442,                0.99686,             0.00021782,             0.00021782,             0.00021782
                      5,                  1.601,                  2.721,                 1.0694,                0.00333,                0.66667,                 0.0071,                0.00465,                 1.3721,                 3.7951,                0.97809,              0.0002763,              0.0002763,              0.0002763
                      6,                 1.4952,                 3.3917,                  1.118,                0.00333,                0.66667,                0.38462,                0.10637,                  1.444,                 3.8419,                0.96963,             0.00033439,             0.00033439,             0.00033439
                      7,                 1.4655,                 2.1354,                 1.0818,                0.00417,                0.83333,                0.00631,                0.00321,                 1.3404,                 3.6922,                0.93119,             0.00039208,             0.00039208,             0.00039208
                      8,                 1.5633,                 2.1197,                 1.0948,                0.00333,                0.66667,                0.00449,                0.00287,                 1.3376,                 3.7427,                0.93383,             0.00044937,             0.00044937,             0.00044937
                      9,                 1.5032,                 2.4344,                 1.1299,                0.00333,                0.66667,                0.00438,                0.00305,                  1.233,                 3.7259,                0.90909,             0.00050627,             0.00050627,             0.00050627
                     10,                 1.5193,                 2.3531,                 1.0554,                0.00417,                0.83333,                0.00593,                0.00381,                   1.15,                 3.7672,                0.89985,             0.00056277,             0.00056277,             0.00056277
                     11,                 1.4539,                 2.0129,                 1.0633,                0.00333,                0.66667,                0.00412,                0.00259,                 1.3289,                 4.1081,                 1.0059,             0.00061888,             0.00061888,             0.00061888
                     12,                 1.6352,                  2.064,                 1.0513,                0.00417,                0.83333,                0.00462,                0.00252,                 1.2673,                 3.9731,                0.96954,             0.00067459,             0.00067459,             0.00067459
                     13,                   1.48,                 1.9657,                 1.0397,                0.00417,                0.83333,                0.00461,                0.00252,                 1.4156,                  3.929,                0.99454,              0.0007299,              0.0007299,              0.0007299
                     14,                 1.4825,                 2.1834,                  1.086,                0.00417,                0.83333,                 0.0047,                0.00258,                 1.5396,                  3.957,                  1.014,             0.00078482,             0.00078482,             0.00078482
                     15,                 1.3976,                 1.6117,                 1.0157,                0.00333,                0.66667,                0.00402,                0.00246,                 1.6308,                 4.0268,                 1.0409,             0.00083934,             0.00083934,             0.00083934
                     16,                 1.4327,                 1.7793,                 1.0894,                0.00333,                0.66667,                0.00585,                0.00364,                 1.5013,                  3.791,                 1.0252,             0.00089347,             0.00089347,             0.00089347
                     17,                 1.3612,                 1.4297,                 1.0339,                0.00333,                0.66667,                0.16804,                 0.1011,                 1.5745,                 3.7846,                 1.0605,              0.0009472,              0.0009472,              0.0009472
                     18,                 1.4727,                 1.9583,                 1.0879,                0.00333,                0.66667,                0.16841,                0.11784,                 1.5424,                 3.8942,                 1.0273,              0.0010005,              0.0010005,              0.0010005
                     19,                 1.3453,                 1.7873,                 1.0273,                0.00333,                0.66667,                0.26327,                0.12802,                 1.5127,                 3.6885,                 1.0224,              0.0010535,              0.0010535,              0.0010535
                     20,                 1.3724,                 1.7214,                 1.0698,                0.00333,                0.66667,                0.49698,                0.22731,                 1.5312,                  3.525,                 1.0178,               0.001106,               0.001106,               0.001106
                     21,                 1.3382,                 1.4574,                0.99852,                      1,                0.30688,                  0.497,                0.27662,                 1.4416,                 3.3621,                0.98911,              0.0011582,              0.0011582,              0.0011582
                     22,                 1.3096,                 1.7554,                 1.0191,                      1,                0.31602,                0.50186,                0.30761,                 1.4421,                 3.2394,                 1.0124,              0.0012099,              0.0012099,              0.0012099
                     23,                 1.3341,                  1.533,                0.99725,                0.63724,                0.66667,                0.63156,                0.36435,                 1.5518,                 3.2331,                  1.071,              0.0012613,              0.0012613,              0.0012613
                     24,                 1.3181,                 1.4445,                  1.012,                0.00333,                0.66667,                0.45966,                0.18871,                 1.6297,                   3.52,                 1.1567,              0.0013122,              0.0013122,              0.0013122
                     25,                 1.2756,                 1.6258,                0.97903,                0.83784,                0.33333,                0.33714,                0.18484,                 1.6635,                 3.5578,                 1.1484,              0.0013628,              0.0013628,              0.0013628
                     26,                 1.3099,                 1.5501,                 1.0103,                0.94514,                0.33333,                0.39564,                0.22866,                 1.7018,                 3.3352,                 1.1565,              0.0014129,              0.0014129,              0.0014129
                     27,                 1.4006,                 1.5847,                0.99119,                0.95098,                0.33333,                0.41564,                0.13353,                 2.1106,                 3.2428,                 1.3405,              0.0014627,              0.0014627,              0.0014627
                     28,                 1.5275,                  1.524,                 1.0331,                0.94222,                0.33333,                0.50712,                0.19545,                 1.8683,                 3.1246,                 1.2209,              0.0015121,              0.0015121,              0.0015121
                     29,                 1.3127,                 1.4242,                0.99982,                0.94222,                0.33333,                0.50712,                0.19545,                 1.8683,                 3.1246,                 1.2209,              0.0015611,              0.0015611,              0.0015611
                     30,                 1.4248,                 1.5571,                 1.0532,                      1,                0.49261,                0.63156,                0.32933,                 1.5142,                 2.8324,                 1.0352,              0.0016097,              0.0016097,              0.0016097
                     31,                 1.3581,                 1.4734,                 1.0186,                0.77739,                0.66667,                0.66556,                0.39341,                 1.4909,                  2.508,                 1.0031,              0.0016578,              0.0016578,              0.0016578
                     32,                 1.3341,                 1.5704,                 1.0898,                      1,                0.49557,                0.66556,                0.35784,                  1.653,                 2.4659,                 1.0365,              0.0017056,              0.0017056,              0.0017056
                     33,                 1.3135,                 1.4777,                 1.0398,                      1,                0.49557,                0.66556,                0.35784,                  1.653,                 2.4659,                 1.0365,               0.001753,               0.001753,               0.001753
                     34,                 1.3262,                 1.3701,                 1.0142,                      1,                0.61989,                 0.6662,                0.41561,                 1.5763,                 2.2073,                  1.014,              0.0017822,              0.0017822,              0.0017822
                     35,                  1.319,                 1.4763,                 1.0382,                0.99408,                    0.5,                0.64366,                 0.3272,                 1.9323,                 2.1327,                 1.1402,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.2252,                 1.3182,                0.97999,                0.90586,                    0.5,                0.59963,                0.26782,                 1.9031,                 2.4659,                 1.1784,               0.001769,               0.001769,               0.001769
                     37,                 1.2781,                 1.4595,                 1.0265,                0.90586,                    0.5,                0.59963,                0.26782,                 1.9031,                 2.4659,                 1.1784,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.2349,                 1.3124,                 0.9841,                      1,                0.47925,                0.63443,                0.33019,                 1.7546,                 2.5612,                 1.2046,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.2364,                 1.4219,                0.97715,                0.72831,                0.45663,                0.65367,                0.33858,                 1.6871,                 2.1453,                 1.2246,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.2301,                 1.2473,                0.99035,                0.75823,                0.52742,                0.72077,                0.34548,                 1.9061,                 2.0452,                 1.2787,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.2114,                 1.1895,                0.99732,                0.75823,                0.52742,                0.72077,                0.34548,                 1.9061,                 2.0452,                 1.2787,               0.001736,               0.001736,               0.001736
                     42,                  1.262,                 1.2215,                0.99561,                0.54974,                0.66667,                0.66312,                0.24482,                 2.1091,                 2.1446,                 1.3761,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.1469,                 1.2013,                0.97314,                0.48852,                0.83333,                0.64978,                0.29636,                 2.0067,                  1.917,                 1.2983,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.1063,                 1.1187,                0.96235,                0.69536,                0.66667,                0.75277,                0.37719,                  1.859,                 1.6218,                 1.1977,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.1376,                 1.1523,                0.94683,                0.69536,                0.66667,                0.75277,                0.37719,                  1.859,                 1.6218,                 1.1977,              0.0017096,              0.0017096,              0.0017096
                     46,                  1.171,                 1.1586,                0.96305,                 0.8286,                0.80968,                0.77867,                0.39078,                 1.9015,                 1.6374,                 1.2298,               0.001703,               0.001703,               0.001703
                     47,                 1.2209,                  1.139,                 1.0079,                0.69048,                0.75001,                0.72077,                0.33873,                 2.1726,                 1.7045,                 1.3389,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.1612,                 1.2024,                0.94888,                0.70969,                0.81724,                 0.6982,                0.32163,                  2.005,                 1.8215,                 1.2493,              0.0016898,              0.0016898,              0.0016898
                     49,                  1.153,                 1.2392,                0.94576,                0.70969,                0.81724,                 0.6982,                0.32163,                  2.005,                 1.8215,                 1.2493,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.2178,                 1.0788,                0.96174,                0.63188,                    0.5,                0.67492,                0.40905,                  1.599,                 1.6947,                 1.0936,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.2346,                 1.1412,                 1.0014,                      1,                0.49587,                0.67748,                0.42696,                 1.5968,                 1.5313,                 1.1142,                0.00167,                0.00167,                0.00167
                     52,                 1.1013,                  1.106,                0.97424,                0.97801,                    0.5,                0.67748,                0.44845,                 1.5651,                 1.4678,                  1.092,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.1313,                 1.1027,                0.96033,                0.97801,                    0.5,                0.67748,                0.44845,                 1.5651,                 1.4678,                  1.092,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.0952,                 1.0645,                0.96538,                0.98257,                    0.5,                0.70312,                0.34357,                 1.6533,                 1.6427,                 1.1418,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.1375,                 1.0557,                 1.0102,                      1,                0.49995,                0.71492,                0.27495,                 1.8551,                 1.6845,                 1.2369,              0.0016436,              0.0016436,              0.0016436
                     56,                  1.086,                0.99344,                 0.9432,                0.82646,                0.79895,                0.77867,                0.29277,                      2,                 1.5209,                 1.3269,               0.001637,               0.001637,               0.001637
                     57,                 1.0897,                0.96299,                0.94996,                0.82646,                0.79895,                0.77867,                0.29277,                      2,                 1.5209,                 1.3269,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.1147,                 1.0785,                0.93988,                0.79134,                0.83333,                0.77867,                0.29747,                 2.0408,                 1.3087,                 1.3613,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.0807,                 1.0607,                0.94527,                0.77011,                0.83333,                0.77867,                0.37875,                  1.901,                  1.325,                 1.2786,              0.0016172,              0.0016172,              0.0016172
                     60,                0.97332,                 0.9643,                0.92302,                0.72844,                0.83333,                0.77867,                0.40297,                 1.7904,                  1.372,                 1.1365,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.0798,                0.98741,                 0.9643,                0.72844,                0.83333,                0.77867,                0.40297,                 1.7904,                  1.372,                 1.1365,               0.001604,               0.001604,               0.001604
                     62,                 1.1407,                0.99057,                0.99504,                0.76883,                0.83333,                0.77867,                0.41491,                 1.6643,                 1.2778,                 1.1023,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.0751,                0.93262,                0.94227,                0.80894,                0.83333,                0.77867,                 0.3214,                 1.9178,                 1.3809,                 1.1992,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.0601,                0.88061,                0.93669,                0.80925,                0.83333,                0.77867,                0.35411,                 1.8983,                 1.2732,                 1.2039,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.0683,                 0.9902,                0.92532,                0.80925,                0.83333,                0.77867,                0.35411,                 1.8983,                 1.2732,                 1.2039,              0.0015776,              0.0015776,              0.0015776
                     66,                0.99231,                0.89452,                0.92361,                0.68785,                0.83333,                0.75277,                 0.3581,                 1.9109,                 1.2297,                 1.1865,               0.001571,               0.001571,               0.001571
                     67,                 1.1307,                0.92671,                0.95078,                0.83292,                0.83125,                0.77867,                0.44127,                 1.7179,                 1.1771,                 1.1451,              0.0015644,              0.0015644,              0.0015644
                     68,                0.90464,                0.86948,                  0.863,                0.77085,                0.83333,                0.77867,                0.39073,                 1.6731,                 1.1558,                 1.1634,              0.0015578,              0.0015578,              0.0015578
                     69,                0.91976,                0.85673,                0.91477,                0.77085,                0.83333,                0.77867,                0.39073,                 1.6731,                 1.1558,                 1.1634,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.0573,                0.83616,                0.95059,                0.82504,                0.83333,                0.83534,                0.47725,                   1.62,                 1.1189,                 1.1683,              0.0015446,              0.0015446,              0.0015446
                     71,                 0.9804,                0.83113,                0.92638,                0.96036,                0.83333,                0.83534,                0.47508,                 1.5468,                 1.2457,                 1.1077,               0.001538,               0.001538,               0.001538
                     72,                 1.0329,                0.91712,                0.96152,                0.95369,                0.83333,                0.83582,                0.50723,                 1.4909,                  1.117,                 1.0677,              0.0015314,              0.0015314,              0.0015314
                     73,                  1.072,                0.85367,                0.94562,                0.95369,                0.83333,                0.83582,                0.50723,                 1.4909,                  1.117,                 1.0677,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.0399,                0.83088,                0.87436,                      1,                0.82388,                0.86324,                0.50542,                 1.4985,                 1.0561,                 1.0363,              0.0015182,              0.0015182,              0.0015182
                     75,                 0.9063,                0.87891,                0.89231,                0.98738,                0.83333,                0.83534,                0.49421,                 1.6514,                 1.0502,                 1.0893,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.0033,                 0.8459,                0.87543,                0.98563,                0.83333,                0.85962,                0.47256,                  1.721,                  1.095,                 1.1492,               0.001505,               0.001505,               0.001505
                     77,                0.98652,                0.77983,                0.88152,                0.98563,                0.83333,                0.85962,                0.47256,                  1.721,                  1.095,                 1.1492,              0.0014984,              0.0014984,              0.0014984
                     78,                0.94142,                0.78513,                0.92988,                0.97429,                0.83333,                0.83583,                0.45364,                 1.7443,                 1.0953,                 1.1785,              0.0014918,              0.0014918,              0.0014918
                     79,                0.99279,                0.84418,                0.95157,                0.83142,                0.83333,                0.83534,                0.46401,                 1.7456,                 1.1114,                 1.2163,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.0291,                0.81236,                0.91449,                0.81397,                0.83333,                0.80701,                 0.3806,                 1.9947,                 1.3268,                 1.3279,              0.0014786,              0.0014786,              0.0014786
                     81,                0.91897,                0.80116,                0.91906,                0.81397,                0.83333,                0.80701,                 0.3806,                 1.9947,                 1.3268,                 1.3279,               0.001472,               0.001472,               0.001472
                     82,                0.96942,                0.81702,                0.90219,                0.98426,                0.83333,                0.83534,                0.41677,                 2.0164,                 1.3283,                 1.3185,              0.0014654,              0.0014654,              0.0014654
                     83,                0.95701,                0.78213,                0.91345,                0.97652,                0.83333,                0.83534,                0.43373,                 1.8177,                 1.1375,                 1.1886,              0.0014588,              0.0014588,              0.0014588
                     84,                0.98682,                0.80204,                0.96109,                0.98151,                0.83333,                0.83535,                0.47595,                 1.7475,                 1.1238,                 1.1297,              0.0014522,              0.0014522,              0.0014522
                     85,                0.94963,                0.78144,                0.88715,                0.98151,                0.83333,                0.83535,                0.47595,                 1.7475,                 1.1238,                 1.1297,              0.0014456,              0.0014456,              0.0014456
                     86,                0.93887,                0.77626,                0.90025,                      1,                0.81491,                0.83534,                0.39902,                 1.8879,                 1.1277,                 1.1794,               0.001439,               0.001439,               0.001439
